Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,pred_p12,pred_p9,pred_p6,pred_p3,pred_p1,frac_design,stage_length,ComplType_counts,ComplType_new
Operator 25,Well 10849,MBH,9799.0,35.0,158,99,7,5152613.0,242207.0,2016-10-29,562.3925468710804,452.7671411142444,368.8752967418875,318.4104995361086,283.67332033876727,P & P (cmt.),48.5185396858411,-103.521376142419,SLICKWATER (HC),660.0,105.64,283.67332033876727,318.4104995361086,368.8752967418875,452.7671411142444,562.3925468710804,893.4908817664228,279.9714285714286,1503.0,P & P (cmt.)
Operator 4,Well 10851,TFH,9766.0,35.0,155,99,31,4003861.0,137747.0,2015-09-03,575.2444974107216,463.07630611501696,377.21542876285514,325.5680179122513,290.02673938058905,P & P (cmt.),48.1986309749095,-103.463961119774,SLICKWATER (HC),545.987915,108.11,290.02673938058905,325.5680179122513,377.21542876285514,463.07630611501696,575.2444974107216,1220.804532948086,279.0285714285714,1503.0,P & P (cmt.)
Operator 4,Well 10854,TFH,9269.0,35.0,155,99,31,4068500.0,145422.0,2015-09-03,415.87282741084385,335.17131922500494,273.6383455237608,236.60635028614212,211.0194363114432,P & P (cmt.),48.1986300679834,-103.463475914318,SLICKWATER (HC),640.207935,77.58,211.0194363114432,236.60635028614212,273.6383455237608,335.17131922500494,415.87282741084385,1175.042290712547,264.8285714285714,1503.0,P & P (cmt.)
Operator 1,Well 10855,MBH,9273.0,30.0,153,99,17,4238979.0,125209.0,2015-08-25,706.8427873745377,568.5929314184717,462.50914239828876,398.71850743569144,354.93214957668374,P & P,48.0812197987103,-103.443193433655,SLICKWATER (HC),245.58258,133.47,354.93214957668374,398.71850743569144,462.50914239828876,568.5929314184717,706.8427873745377,1421.9194946050204,309.1,3340.0,P & P
Operator 4,Well 10856,MBH,9929.0,35.0,156,100,7,7354848.0,297575.0,2015-11-05,876.3845287956889,704.4300078026737,572.1524231562921,492.63983448445697,438.20494167745034,P & P (cmt.),48.3434966947951,-103.597929887251,SLICKWATER (HC),660.0,166.3,438.20494167745034,492.63983448445697,572.1524231562921,704.4300078026737,876.3845287956889,1038.069784088045,283.6857142857143,1503.0,P & P (cmt.)
Operator 4,Well 36,TFH,9270.0,27.0,141,100,2,1993110.0,35723.0,2012-07-24,99.6383957922419,86.2919132149901,64.6614069690993,53.0571992110454,45.7018408941486,Sleeves,47.0656460881206,-103.319956088422,LINEAR GEL (HC),660.0,17.41,50.39548128922737,50.96049139400114,60.83604479055104,78.40816851138085,106.54641732919409,2343.325588556392,343.3333333333333,4244.0,Sleeves
Operator 6,Well 49,MBH,9986.0,27.0,144,98,3,2778518.0,61915.0,2012-05-28,325.476660092045,250.076703922858,211.472715318869,189.648622981956,171.362042515889,Sleeves,47.3278815705396,-103.078961107309,LINEAR GEL (HC),660.0,64.09,175.71834747335717,191.99567079751327,219.05225715268818,258.5609399775697,309.9618796403817,1884.8058790276993,369.85185185185185,4244.0,Sleeves
Operator 4,Well 62,TFH,10576.0,30.0,140,100,11,3741196.0,26754.0,2011-10-10,417.850098619329,333.826429980276,255.391190006575,213.01775147929,184.100372561911,Sleeves,46.9490428202171,-103.259572946999,LINEAR GEL (HC),660.0,69.65,190.30210498097546,206.32134042896047,246.20907521535884,312.6702643173424,414.1981148595637,5873.149136577708,352.53333333333336,4244.0,Sleeves
Operator 1,Well 71,TFH,9746.0,30.0,141,98,35,3318932.0,69346.0,2012-11-08,284.615384615385,186.806925268464,154.295419680035,138.037840601943,124.074074074074,P & P,46.9811565763834,-103.066558553124,LINEAR GEL (HC),660.0,45.74,127.18108402430158,138.85145266393562,159.1486137912715,188.23740228942367,231.29765276598005,2010.1396475643871,324.8666666666667,3340.0,P & P
Operator 4,Well 78,TFH,9455.0,40.0,140,100,14,2942533.0,56508.0,2014-06-20,348.159105851414,294.356782818321,234.352399737015,201.391628314705,176.408064869603,P & P (cmt.),46.9475117687322,-103.264845221027,LINEAR GEL (HC),660.0,64.88,177.7936104699058,197.67003889066552,232.69631252752416,286.74076063328516,365.06012428076355,2187.0599915056277,236.375,1503.0,P & P (cmt.)
Operator 1,Well 80,TFH,9552.0,30.0,141,99,32,3166925.0,68383.0,2012-09-14,412.984878369494,336.017970633355,280.369274600044,235.685586967638,206.026736795968,P & P,46.9808509132319,-103.257258606443,LINEAR GEL (HC),660.0,71.03,193.91415538818825,230.98825315199107,272.5673587649461,343.4740912010418,416.927125725194,1945.0864981062543,318.4,3340.0,P & P
Operator 4,Well 82,TFH,9630.0,40.0,140,100,14,2959627.0,54656.0,2014-06-20,527.942143326759,328.10650887574,255.369274600044,210.67645554825,179.462524654832,P & P (cmt.),46.9473883886876,-103.264845221027,LINEAR GEL (HC),660.0,66.43,181.8622847548986,201.10513557726895,243.48749465810513,312.64324643613236,407.0757019207266,2274.3035348360654,240.75,1503.0,P & P (cmt.)
Operator 1,Well 87,TFH,9647.0,30.0,141,99,14,3125411.0,57469.0,2012-11-11,444.773175542406,393.326758711374,337.250712250712,286.503762144788,248.67959675652,P & P,47.0376945180219,-103.186401740961,LINEAR GEL (HC),660.0,92.79,250.5166240919385,278.9986798997485,331.71018380291383,413.6913714863263,488.3123983121778,2284.140353929945,321.56666666666666,3340.0,P & P
Operator 4,Well 94,TFH,9457.0,30.0,140,100,27,3227420.0,45432.0,2013-07-18,295.43063773833,193.392504930966,146.778435239974,122.503469939367,104.103659872891,Sleeves,46.9184172000114,-103.279828839198,LINEAR GEL (HC),660.0,39.14,109.53803793212235,116.42858144696895,141.1415604781886,179.00440563968533,239.481598680705,2983.6159535129423,315.23333333333335,4244.0,Sleeves
Operator 4,Well 95,TFH,9023.0,30.0,142,102,19,1964740.0,46511.0,2013-08-25,269.428007889546,225.180802103879,199.484987946526,175.538753743882,155.944554021477,P & P,47.1080649077187,-103.662380090038,LINEAR GEL (HC),616.29398,58.99,162.29481627182045,174.6621756325686,202.66462801447713,243.8045863968991,278.9987077283867,1774.184171486315,300.76666666666665,3340.0,P & P
Operator 4,Well 96,TFH,10244.0,30.0,140,100,27,3097060.0,44674.0,2013-07-17,173.405654174885,126.134122287968,104.048871356564,87.6397107166338,76.3121849660311,Sleeves,46.9184163397093,-103.280009072491,LINEAR GEL (HC),660.0,29.52,83.59131636645672,85.25099868866057,100.77922552260178,126.58892892481083,155.9537490954311,2911.6828580382326,341.46666666666664,4244.0,Sleeves
Operator 4,Well 98,TFH,10173.0,30.0,140,100,26,1635900.0,26003.0,2012-09-16,367.488494411571,325.388998465922,265.379136532983,229.403170428811,204.678939294324,Sleeves,46.9186933291158,-103.264669198077,LINEAR GEL (HC),660.0,80.55,218.75545628409432,229.47171122488078,265.2606068715522,324.9853268671686,403.6920299625291,2642.302811214091,339.1,4244.0,Sleeves
Operator 4,Well 99,TFH,11176.0,47.0,140,100,14,2986737.0,58472.0,2014-06-20,393.491124260355,320.940170940171,253.068156914311,207.546204982102,179.226934034626,P & P (cmt.),46.9476351487767,-103.264845221027,LINEAR GEL (HC),660.0,66.96,183.25259754460308,200.8401788400901,239.84908569944056,309.80645925185104,398.15285186375365,2145.350834587495,237.7872340425532,1503.0,P & P (cmt.)
Operator 1,Well 105,TFH,9634.0,30.0,141,98,11,2785232.0,55413.0,2013-06-09,292.373438527285,206.026736795968,166.995397764629,145.638834100373,129.31459566075,P & P,47.039562899839,-103.061209128073,LINEAR GEL (HC),660.0,48.61,134.81913894355375,144.73779131090922,167.96383062773702,203.84365242600418,255.18503266045258,2111.0523523360944,321.1333333333333,3340.0,P & P
Operator 4,Well 106,TFH,10456.0,30.0,140,100,10,3257195.0,41359.0,2013-07-27,267.817225509533,203.846153846154,158.979837825992,130.542771568413,111.80966469428,Sleeves,46.9494204376279,-103.281437949888,LINEAR GEL (HC),660.0,42.73,119.14893647608386,125.07922222742641,150.45897599670704,193.99279978116186,252.47447210584951,3307.676442854034,348.53333333333336,4244.0,Sleeves
Operator 1,Well 108,TFH,9715.0,30.0,141,98,1,3053654.0,60308.0,2012-05-09,285.86456278764,203.364014902476,156.689677843524,135.064650449266,123.164584703046,P & P,47.066862931855,-103.045644126578,LINEAR GEL (HC),660.0,45.9,127.60741310172094,137.82997269551566,155.70122158545618,191.17889978689843,251.87516625961285,2126.6410426477414,323.8333333333333,3340.0,P & P
Operator 4,Well 110,TFH,10003.0,30.0,140,100,10,3247872.0,41562.0,2013-07-23,293.984220907298,212.217839140916,157.96077142231,128.921031485134,111.357659434583,Sleeves,46.9494219837355,-103.281257570665,LINEAR GEL (HC),660.0,41.51,115.88675612962324,124.57174711319675,148.57913401611503,192.74064641439335,262.8814055226504,3282.099610220875,333.43333333333334,4244.0,Sleeves
Operator 1,Well 114,TFH,9720.0,30.0,141,99,15,3043384.0,52988.0,2012-06-11,450.394477317554,325.421871575718,244.066403681788,203.557600993498,177.051829936445,P & P,47.0377055042185,-103.210295406891,LINEAR GEL (HC),660.0,66.83,182.9116199752992,198.39401010294085,235.21343787710984,298.7109633601734,403.73296087099436,2412.2844417603987,324.0,3340.0,P & P
Operator 4,Well 116,TFH,13182.0,30.0,140,100,5,3682795.0,46234.0,2013-05-01,108.974358974359,101.26013587552,83.8866973482358,72.1710862736504,61.6370808678501,Sleeves,46.9792063320487,-103.324056752286,LINEAR GEL (HC),660.0,23.61,67.48082770204884,68.80373840170024,82.89881293238095,101.90568863547095,125.10012817266839,3345.533373707661,439.4,4244.0,Sleeves
Operator 1,Well 136,TFH,9548.0,30.0,141,98,34,2792957.0,57474.0,2014-06-01,125.575279421433,115.77909270217,104.667981591059,89.5098254072613,75.8766162612316,P & P,46.981406544054,-103.087758551643,LINEAR GEL (HC),660.0,29.18,82.66840824499234,84.76265410247767,102.94221885872082,127.3474306180658,143.106455064532,2040.995824198768,318.26666666666665,3340.0,P & P
Operator 1,Well 151,TFH,9519.0,30.0,141,98,25,5060596.0,84903.0,2014-06-13,303.517422748192,260.464606618453,205.391190006575,166.568047337278,134.938636861714,P & P,47.0087965352535,-103.045648039982,LINEAR GEL (HC),660.0,55.27,152.47322041831342,151.0558723393332,192.24968122112415,251.07410439256049,322.8847268968786,2503.386594113282,317.3,3340.0,P & P
Operator 12,Well 205,MBH,6477.0,26.0,159,91,12,2828786.0,33687.0,2012-08-29,212.491781722551,187.201402586018,164.327197019505,151.910292935934,140.932500547885,P & P,48.6098404616768,-102.36870000509,LINEAR GEL (HC),660.0,52.34,144.71807361096052,157.79046244501794,175.23912501862782,200.56414922933433,231.78784355503754,3526.85047644492,249.1153846153846,3340.0,P & P
Operator 12,Well 208,MBH,7689.0,31.0,159,91,12,3367183.0,42775.0,2012-08-29,233.004602235371,224.961648038571,217.652859960552,200.862005990211,187.231536269998,P & P (cmt.),48.6098392821349,-102.369113631106,LINEAR GEL (HC),660.0,69.75,190.5639472138316,209.8432415735019,232.08085018917822,266.17072361979416,278.72619750274663,3306.176177673875,248.03225806451613,1503.0,P & P (cmt.)
Operator 7,Well 210,MBH,4682.0,20.0,160,91,15,2875900.0,20112.0,2011-06-15,242.307692307692,163.883410037256,119.948498794653,98.8823142669297,86.9219811527504,OH,48.6905641617198,-102.427367516335,LINEAR GEL (HC),660.0,31.96,90.20186491135338,97.14932157995645,113.78634526864556,146.07782332506156,202.81880581212351,6005.7577565632455,234.1,687.0,OH
Operator 12,Well 211,MBH,6785.0,24.0,159,91,26,3206697.0,43056.0,2011-01-22,409.631821170283,390.181897874206,317.38439623055,273.664986485499,241.242055665133,P & P,48.5686890584559,-102.401301071326,LINEAR GEL (HC),660.0,90.78,245.3135629695755,270.6246163931722,316.76209495269893,389.15721981754973,484.39405380307375,3128.048913043478,282.7083333333333,3340.0,P & P
Operator 12,Well 216,MBH,6459.0,21.0,159,91,26,2927136.0,36614.0,2012-01-14,156.541748849441,145.595003287311,139.39842209073,133.296807655782,122.904339250493,P & P,48.5686890584559,-102.400887809415,LINEAR GEL (HC),660.0,45.95,127.7406282391746,137.53768675418453,153.65162709380388,169.9428597657455,180.10857829408943,3357.724149232534,307.57142857142856,3340.0,P & P
Operator 12,Well 230,MBH,8403.0,21.0,159,90,30,3745787.0,53161.0,2011-10-28,281.196581196581,247.874205566513,224.304185842647,208.57622908905,194.493754109139,P & P,48.5730311141267,-102.360581501429,LINEAR GEL (HC),660.0,74.19,202.17431889799676,218.01252498312124,241.04628718098976,274.3623702891543,307.2221549085182,2959.369725926901,400.14285714285717,3340.0,P & P
Operator 1,Well 243,TFH,9799.0,30.0,160,94,20,3733321.0,61238.0,2012-03-19,390.565417488494,310.11396011396,268.523997370151,232.727007085981,205.43228139382,P & P,48.6627368073606,-102.848618019905,LINEAR GEL (HC),660.0,77.99,212.08809505149657,230.319367416003,269.1262470076655,328.86359221324005,384.6744400692355,2560.493190502629,326.6333333333333,3340.0,P & P
Operator 1,Well 246,TFH,9147.0,30.0,160,94,10,3804371.0,60227.6904761905,2012-05-18,267.521367521367,259.861932938856,237.760245452553,216.250273942582,193.406202060048,P & P,48.692220998664,-102.811592536423,LINEAR GEL (HC),660.0,74.22,202.25266698843146,216.78906420778185,249.96692197250363,290.93973387928327,322.1349321358778,2652.992016407576,304.9,3340.0,P & P
Operator 11,Well 256,MBH,9694.0,35.0,160,92,33,4306763.0,65356.0,2012-05-01,482.807363576594,375.169844400614,308.026517641902,276.714880561034,254.903572211265,Sleeves,48.6470847638201,-102.576629824605,LINEAR GEL (HC),660.0,88.5,239.40576750050323,286.00706542179546,320.3127051103759,377.6042668616523,465.6913466334388,2767.6731440112612,276.9714285714286,4244.0,Sleeves
Operator 6,Well 281,TFH,9146.0,25.0,159,94,4,2841107.0,59500.0,2012-08-11,137.573964497041,132.67587113741,121.531886916502,110.738549200088,102.651764190226,Sleeves,48.6324419483789,-102.837030169909,LINEAR GEL (HC),660.0,37.3,104.59807045308324,114.79896038944223,127.51262390495529,148.01968368054926,164.0719580808422,2005.4872941176473,365.84,4244.0,Sleeves
Operator 6,Well 284,MBH,9404.0,25.0,159,94,19,2885000.0,65193.0,2012-07-19,500.854700854701,412.064431295201,335.672802980495,296.299948864051,256.128095551172,Sleeves,48.5889918580074,-102.880156783457,LINEAR GEL (HC),660.0,96.55,260.23719903288406,287.3859892975157,343.1184106734538,411.7423360778477,511.66094385384747,1858.6351295384472,376.16,4244.0,Sleeves
Operator 11,Well 289,MBH,9444.0,36.0,160,93,5,4459669.0,66826.0,2012-10-09,210.815253122945,184.560596099058,163.204032434802,149.590912411425,136.226166995398,Sleeves,48.7193944447957,-102.716899891551,LINEAR GEL (HC),660.0,50.33,139.38758399966574,152.5024267886327,172.54828972468076,199.1837710281768,228.50635993079723,2802.892556789274,262.3333333333333,4244.0,Sleeves
Operator 11,Well 310,MBH,9629.0,36.0,159,92,26,4301360.0,58525.0,2013-11-06,198.356344510191,155.939075169844,138.379355687048,127.624369932062,119.11023449485,Sleeves,48.5746657060706,-102.52785961951,LINEAR GEL (HC),589.42632,43.52,121.25925709453523,133.27672218161158,147.07620495784286,168.69185876421417,192.95248140798654,3086.83673643742,267.47222222222223,4244.0,Sleeves
Operator 18,Well 322,MBH,4202.0,25.0,162,94,17,1124880.0,19588.0,2012-09-19,101.051939513478,90.3462634231865,64.5518299364453,53.3420994959457,44.9484987946526,Sleeves,48.8516941968987,-102.909527065085,LINEAR GEL (HC),660.0,16.9,48.9798156059507,50.11745224481675,61.164598689948775,78.27436905703665,111.5708779129849,2411.9338370430874,168.08,4244.0,Sleeves
